Age,Gender,Education,Country,Ethnicity,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1,0,University degree,UK,White,CL5,CL0,CL0,CL2,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,1,Left school before 16 years,UK,White,CL5,CL3,CL2,CL3,CL6,CL5,CL6,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL0,CL3,CL6,CL0,CL0
1,0,Left school at 18 years,UK,White,CL6,CL3,CL3,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL5,CL4,CL3,CL0,CL3,CL5,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL3,CL3,CL6,CL6,CL5,CL5,CL0,CL3,CL0,CL4,CL3,CL0,CL0,CL2,CL6,CL0,CL0
1,0,Left school at 18 years,UK,White,CL4,CL3,CL0,CL0,CL6,CL6,CL4,CL0,CL0,CL3,CL0,CL3,CL0,CL0,CL0,CL0,CL5,CL0,CL0
1,1,University degree,UK,White,CL5,CL0,CL2,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,"Some college or university, no certificate or degree",USA,White,CL4,CL0,CL0,CL0,CL5,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL3
1,1,"Some college or university, no certificate or degree",UK,White,CL3,CL0,CL0,CL0,CL5,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL2,CL3,CL6,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL3,CL4,CL0,CL3,CL5,CL0,CL0
1,0,University degree,UK,White,CL5,CL3,CL3,CL0,CL3,CL3,CL6,CL3,CL0,CL4,CL0,CL4,CL3,CL3,CL3,CL3,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL2,CL2,CL2,CL6,CL5,CL4,CL2,CL2,CL2,CL0,CL2,CL2,CL0,CL0,CL2,CL6,CL0,CL0
1,1,Masters degree,UK,White,CL5,CL0,CL0,CL0,CL4,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,1,University degree,UK,White,CL6,CL3,CL3,CL0,CL6,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL4,CL0,CL0,CL0,CL5,CL0,CL0
1,1,University degree,UK,White,CL6,CL4,CL2,CL0,CL6,CL6,CL6,CL2,CL0,CL4,CL0,CL4,CL4,CL3,CL0,CL3,CL6,CL0,CL0
1,1,University degree,UK,White,CL6,CL3,CL3,CL4,CL6,CL5,CL6,CL3,CL0,CL2,CL3,CL5,CL3,CL2,CL3,CL2,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL2,CL0,CL6,CL2,CL4,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0,CL2,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL2,CL2,CL3,CL5,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL2,CL3,CL3,CL3,CL6,CL0,CL0
1,1,Masters degree,UK,White,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,1,University degree,UK,Asian,CL0,CL2,CL0,CL2,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0,CL2,CL6,CL0,CL2
1,1,University degree,UK,White,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,0,Masters degree,UK,Mixed-White/Black,CL5,CL2,CL2,CL2,CL6,CL6,CL5,CL2,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL3,CL6,CL0,CL0
1,1,Left school before 16 years,UK,White,CL5,CL2,CL2,CL2,CL6,CL3,CL5,CL2,CL2,CL2,CL2,CL0,CL2,CL2,CL2,CL0,CL6,CL0,CL2
1,0,"Some college or university, no certificate or degree",USA,White,CL3,CL3,CL0,CL3,CL6,CL3,CL4,CL3,CL0,CL3,CL3,CL3,CL3,CL3,CL3,CL3,CL6,CL0,CL0
1,0,Left school before 16 years,UK,White,CL3,CL0,CL0,CL0,CL0,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL3,CL0,CL4,CL0,CL3,CL4,CL4,CL0,CL4,CL5,CL0,CL0
1,0,Left school at 18 years,UK,White,CL6,CL2,CL2,CL0,CL5,CL6,CL4,CL3,CL0,CL4,CL0,CL2,CL3,CL0,CL0,CL3,CL4,CL0,CL2
1,0,Professional certificate/ diploma,UK,White,CL5,CL0,CL4,CL4,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL5,CL0,CL3,CL3,CL4,CL0,CL4,CL6,CL0,CL0
1,0,Professional certificate/ diploma,Other,Other,CL4,CL0,CL2,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL3,CL5,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL6,CL3,CL0,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL5,CL0,CL6,CL0,CL0
1,1,Left school at 17 years,USA,White,CL5,CL3,CL0,CL5,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL4,CL3,CL6,CL0,CL2
1,0,"Some college or university, no certificate or degree",USA,White,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL3,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL6,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL4,CL0,CL2,CL0,CL4,CL5,CL5,CL4,CL0,CL3,CL0,CL0,CL2,CL0,CL3,CL0,CL4,CL0,CL0
1,1,University degree,UK,White,CL4,CL0,CL0,CL2,CL5,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,1,University degree,UK,White,CL6,CL0,CL3,CL0,CL5,CL4,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0
1,1,Left school at 16 years,UK,White,CL5,CL0,CL2,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
1,0,University degree,UK,White,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,1,University degree,UK,White,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,1,Masters degree,UK,White,CL2,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL6,CL2,CL2,CL0,CL6,CL2,CL4,CL0,CL0,CL3,CL0,CL2,CL3,CL0,CL0,CL2,CL2,CL0,CL0
1,1,University degree,UK,White,CL5,CL2,CL2,CL0,CL6,CL2,CL3,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,1,University degree,UK,White,CL6,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL2,CL2,CL2,CL5,CL4,CL6,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
1,0,University degree,UK,White,CL6,CL0,CL2,CL0,CL6,CL3,CL6,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL6,CL0,CL0
1,1,Masters degree,UK,White,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,Masters degree,UK,White,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL6,CL0,CL4,CL0,CL6,CL5,CL6,CL0,CL0,CL5,CL0,CL4,CL2,CL0,CL0,CL2,CL6,CL0,CL0
1,1,"Some college or university, no certificate or degree",USA,White,CL5,CL0,CL0,CL3,CL6,CL4,CL6,CL0,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL2,CL0,CL0,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL5,CL2,CL4,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL3,CL0,CL3,CL6,CL0,CL0
1,0,Left school at 16 years,UK,White,CL5,CL2,CL0,CL0,CL5,CL5,CL5,CL3,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL4,CL0,CL2,CL0,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL4,CL5,CL0,CL0,CL6,CL6,CL5,CL4,CL0,CL4,CL0,CL3,CL4,CL0,CL0,CL4,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL3,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL2
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL3,CL0,CL2,CL6,CL6,CL3,CL0,CL0,CL2,CL0,CL0,CL6,CL3,CL3,CL4,CL6,CL0,CL0
1,0,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL4,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
1,0,Left school at 18 years,UK,White,CL5,CL0,CL0,CL0,CL6,CL5,CL6,CL0,CL0,CL4,CL0,CL4,CL2,CL0,CL0,CL0,CL6,CL0,CL2
1,1,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL0,CL2,CL0,CL4,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL0,CL0,CL3,CL6,CL5,CL6,CL4,CL0,CL4,CL0,CL0,CL4,CL0,CL3,CL3,CL6,CL0,CL2
1,0,"Some college or university, no certificate or degree",Australia,White,CL5,CL5,CL3,CL4,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL4,CL5,CL5,CL3,CL4,CL6,CL0,CL3
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL0,CL0,CL0,CL4,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL3,CL2,CL0,CL0
1,0,Masters degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
1,1,University degree,UK,White,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL5,CL0,CL0
1,0,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL3,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL2,CL4,CL0,CL0
1,0,Left school at 18 years,UK,White,CL3,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL5,CL0,CL3,CL0,CL6,CL5,CL5,CL2,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0
1,0,University degree,UK,White,CL2,CL0,CL0,CL0,CL6,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL6,CL0,CL0
1,1,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL6,CL2,CL5,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,Masters degree,UK,Asian,CL3,CL0,CL0,CL3,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL3,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL0,CL0,CL0,CL0,CL3,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2
1,1,"Some college or university, no certificate or degree",UK,White,CL5,CL4,CL3,CL3,CL6,CL3,CL4,CL3,CL0,CL0,CL0,CL0,CL4,CL0,CL3,CL0,CL3,CL0,CL3
1,1,"Some college or university, no certificate or degree",Canada,White,CL5,CL0,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL3,CL2,CL2,CL2,CL4,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL6,CL0,CL0
1,1,University degree,UK,White,CL4,CL0,CL0,CL0,CL4,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL3,CL0,CL6,CL3,CL6,CL0,CL0,CL4,CL0,CL3,CL3,CL0,CL0,CL0,CL2,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL3,CL0,CL0,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,University degree,UK,White,CL5,CL2,CL3,CL2,CL3,CL6,CL6,CL2,CL0,CL2,CL0,CL3,CL3,CL3,CL0,CL2,CL5,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL3,CL0,CL0,CL6,CL3,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL3,CL3,CL0,CL0
1,0,University degree,USA,White,CL6,CL5,CL2,CL0,CL6,CL6,CL4,CL0,CL0,CL3,CL0,CL0,CL3,CL4,CL0,CL3,CL5,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL5,CL0,CL0,CL0,CL6,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
1,1,"Some college or university, no certificate or degree",USA,White,CL5,CL3,CL0,CL6,CL6,CL6,CL4,CL3,CL3,CL2,CL2,CL0,CL2,CL3,CL3,CL3,CL6,CL0,CL2
1,0,"Some college or university, no certificate or degree",UK,White,CL3,CL0,CL0,CL3,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,Left school at 16 years,Other,White,CL5,CL2,CL0,CL0,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,Professional certificate/ diploma,UK,White,CL6,CL0,CL3,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
1,0,"Some college or university, no certificate or degree",Canada,White,CL4,CL0,CL0,CL0,CL3,CL3,CL5,CL0,CL0,CL3,CL0,CL0,CL0,CL4,CL0,CL4,CL0,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL4,CL4,CL2,CL0,CL4,CL5,CL4,CL0,CL0,CL3,CL0,CL0,CL5,CL0,CL0,CL3,CL0,CL0,CL0
1,1,University degree,UK,White,CL6,CL0,CL2,CL0,CL6,CL5,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL0,CL5,CL0,CL0
1,0,"Some college or university, no certificate or degree",UK,White,CL6,CL3,CL3,CL3,CL5,CL6,CL5,CL3,CL0,CL3,CL0,CL3,CL3,CL0,CL0,CL3,CL6,CL0,CL0
1,1,Left school at 18 years,Other,White,CL4,CL0,CL0,CL3,CL6,CL6,CL6,CL0,CL0,CL6,CL0,CL3,CL4,CL5,CL3,CL5,CL3,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL5,CL4,CL3,CL3,CL6,CL2,CL5,CL3,CL0,CL3,CL3,CL4,CL4,CL4,CL3,CL4,CL6,CL0,CL0
1,1,Masters degree,UK,Mixed-White/Asian,CL5,CL0,CL2,CL0,CL5,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0
1,1,"Some college or university, no certificate or degree",Republic of Ireland,White,CL6,CL6,CL0,CL0,CL5,CL6,CL5,CL0,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL3,CL3,CL0,CL5,CL6,CL6,CL5,CL3,CL3,CL3,CL0,CL0,CL4,CL0,CL3,CL3,CL6,CL0,CL0
1,0,Doctorate degree,UK,White,CL6,CL0,CL2,CL2,CL6,CL3,CL3,CL2,CL2,CL3,CL0,CL3,CL4,CL3,CL6,CL0,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
1,1,University degree,UK,White,CL5,CL0,CL0,CL2,CL5,CL3,CL0,CL3,CL3,CL2,CL0,CL0,CL0,CL0,CL0,CL3,CL5,CL0,CL2
1,0,Left school at 16 years,UK,White,CL5,CL0,CL2,CL0,CL4,CL5,CL3,CL2,CL0,CL3,CL0,CL2,CL2,CL3,CL0,CL3,CL4,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL4,CL2,CL3,CL2,CL6,CL6,CL5,CL2,CL0,CL3,CL0,CL0,CL3,CL5,CL2,CL4,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL6,CL3,CL0,CL6,CL6,CL1,CL5,CL3,CL3,CL3,CL2,CL0,CL2,CL4,CL6,CL2,CL6,CL0,CL3
1,1,Professional certificate/ diploma,USA,Other,CL4,CL6,CL0,CL6,CL6,CL6,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,White,CL3,CL3,CL0,CL0,CL3,CL3,CL6,CL0,CL0,CL3,CL0,CL5,CL5,CL3,CL0,CL0,CL5,CL0,CL0
1,1,Masters degree,UK,Asian,CL0,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
1,0,Left school at 18 years,Other,White,CL4,CL2,CL0,CL2,CL6,CL4,CL5,CL0,CL0,CL4,CL2,CL2,CL2,CL5,CL2,CL2,CL6,CL0,CL0
1,1,"Some college or university, no certificate or degree",Other,White,CL4,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL5,CL0,CL4,CL0,CL2,CL6,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,Mixed-White/Asian,CL6,CL4,CL0,CL6,CL6,CL6,CL0,CL3,CL3,CL2,CL0,CL0,CL2,CL0,CL0,CL2,CL2,CL0,CL0
1,0,"Some college or university, no certificate or degree",Canada,White,CL4,CL6,CL0,CL5,CL5,CL6,CL6,CL3,CL0,CL3,CL0,CL5,CL3,CL5,CL0,CL5,CL4,CL0,CL0
1,1,Professional certificate/ diploma,USA,White,CL4,CL3,CL0,CL0,CL3,CL3,CL3,CL3,CL0,CL2,CL2,CL0,CL3,CL2,CL3,CL2,CL3,CL0,CL0
1,0,"Some college or university, no certificate or degree",USA,Other,CL3,CL3,CL0,CL2,CL6,CL4,CL3,CL4,CL2,CL3,CL2,CL2,CL3,CL3,CL3,CL0,CL4,CL0,CL3
1,1,"Some college or university, no certificate or degree",USA,White,CL6,CL3,CL0,CL3,CL3,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL3,CL3,CL0,CL2,CL3,CL0,CL0
1,1,"Some college or university, no certificate or degree",USA,White,CL6,CL5,CL0,CL4,CL5,CL3,CL5,CL3,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0
1,0,Masters degree,USA,White,CL4,CL2,CL0,CL3,CL5,CL5,CL5,CL0,CL0,CL3,CL0,CL0,CL3,CL3,CL0,CL2,CL3,CL0,CL0
